ProkID	CheckM Bin Id	Seq_Tech	Assembly_Method	Genome_Coverage	Assembly_Level	RGA	Seq_Tech2	Assembler2	Gravity	Category	Sample Type	Health_comments	Sample_Site	Sample_Site_2	Strain	Culture_Media	Reference
GCA_003113955_prok	GCA_003113955.1_ASM311395v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	175	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 28b	NA	Suzuki et al., unpublished
GCA_003113975_prok	GCA_003113975.1_ASM311397v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	171	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 47	NA	Suzuki et al., unpublished
GCA_003113995_prok	GCA_003113995.1_ASM311399v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	187	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 47b	NA	Suzuki et al., unpublished
GCA_003114015_prok	GCA_003114015.1_ASM311401v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	183	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 67	NA	Suzuki et al., unpublished
GCA_003114035_prok	GCA_003114035.1_ASM311403v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	238	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 74	NA	Suzuki et al., unpublished
GCA_003114055_prok	GCA_003114055.1_ASM311405v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	187	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 97	NA	Suzuki et al., unpublished
GCA_003114075_prok	GCA_003114075.1_ASM311407v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	178	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 97b	NA	Suzuki et al., unpublished
GCA_003114095_prok	GCA_003114095.1_ASM311409v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	187	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 105b	NA	Suzuki et al., unpublished
GCA_003114115_prok	GCA_003114115.1_ASM311411v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	236	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 107	NA	Suzuki et al., unpublished
GCA_003114335_prok	GCA_003114335.1_ASM311433v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	185	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 151	NA	Suzuki et al., unpublished
GCA_003114595_prok	GCA_003114595.1_ASM311459v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	193	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 221	NA	Suzuki et al., unpublished
GCA_003114615_prok	GCA_003114615.1_ASM311461v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	189	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 222	NA	Suzuki et al., unpublished
GCA_003114635_prok	GCA_003114635.1_ASM311463v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	160	Contig		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 224	NA	Suzuki et al., unpublished
GCA_003114655_prok	GCA_003114655.1_ASM311465v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	193	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 225	NA	Suzuki et al., unpublished
GCA_003114675_prok	GCA_003114675.1_ASM311467v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	172	Scaffold		Illumina	CLC	Earth	Human	Skin	atopic dermatitis patients	Japan 	Japan 	GUATP 226	NA	Suzuki et al., unpublished
GCA_003116115_prok	GCA_003116115.1_ASM311611v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	183	Scaffold		Illumina	CLC	Earth	Human	Skin 	atopic dermatitis patients	Japan 	Japan 	GUATP 107b	NA	Suzuki et al., unpublished
GCA_003116185_prok	GCA_003116185.1_ASM311618v1_genomic	Illumina Hiseq2500	CLC Genomics Workbench v. 7.5.1	175	Contig		Illumina	CLC	Earth	Human	Skin 	atopic dermatitis patients	Japan 	Japan 	GUATP 207	NA	Suzuki et al., unpublished
