Gene	Non-unique Gene name	Annotation
ssaA_1		Staphylococcal secretory antigen SsaA
speA		Arginine decarboxylase
cycA_1		D-serine/D-alanine/glycine transporter
isdG		Heme oxygenase (staphylobilin-producing) 1
polX		DNA polymerase/3'-5' exonuclease PolX
sarS		HTH-type transcriptional regulator SarS
ansA		putative L-asparaginase
rsmI		Ribosomal RNA small subunit methyltransferase I
group_6706		hypothetical protein
gfo_1		Glucose--fructose oxidoreductase
group_6708		hypothetical protein
lacC_2		Tagatose-6-phosphate kinase
group_6710		Putative 2-dehydropantoate 2-reductase
panD		Aspartate 1-decarboxylase
group_6712		hypothetical protein
group_6713		hypothetical protein
hxlB		3-hexulose-6-phosphate isomerase
spsB_2		Signal peptidase IB
mutM		Formamidopyrimidine-DNA glycosylase
group_6717		S-formylglutathione hydrolase
recG		ATP-dependent DNA helicase RecG
def1		Peptide deformylase 1
rihA		Pyrimidine-specific ribonucleoside hydrolase RihA
group_6721		putative response regulatory protein
cidA		Holin-like protein CidA
sspC		Staphostatin B
group_6724		hypothetical protein
accB_2		Biotin carboxyl carrier protein of acetyl-CoA carboxylase
narT		putative nitrate transporter NarT
msbA		Putative multidrug export ATP-binding/permease protein
cdr		Coenzyme A disulfide reductase
group_6729		hypothetical protein
yjbI		Group 2 truncated hemoglobin YjbI
group_6731		hypothetical protein
yfmC_2		Fe(3 )-citrate-binding protein YfmC
group_6733		hypothetical protein
group_6736		hypothetical protein
group_6737		hypothetical protein
group_6738		hypothetical protein
group_6739		putative acetyl-CoA acyltransferase
mutY		Adenine DNA glycosylase
secE		Protein translocase subunit SecE
metX		Homoserine O-acetyltransferase
pstA		Phosphate transport system permease protein PstA
truB		tRNA pseudouridine synthase B
group_6746		hypothetical protein
group_6747		hypothetical protein
hisA		1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
panC		Pantothenate synthetase
fadA		3-ketoacyl-CoA thiolase
hisB		Imidazoleglycerol-phosphate dehydratase
group_6752		hypothetical protein
psuG		Pseudouridine-5'-phosphate glycosidase
group_6754		Putative zinc metalloprotease
metQ_1		putative D-methionine-binding lipoprotein MetQ
prmC		Release factor glutamine methyltransferase
group_6757		Isoleucine 2-epimerase
group_6758		Putative aldehyde dehydrogenase
ribE		Riboflavin synthase
dnaB		Replication initiation and membrane attachment protein
group_6761		TelA-like protein
group_6764		putative hydrolase
nrdG		Anaerobic ribonucleoside-triphosphate reductase-activating protein
ywpJ_1		Phosphatase YwpJ
fmt		Methionyl-tRNA formyltransferase
rluB		Ribosomal large subunit pseudouridine synthase B
ydjZ		TVP38/TMEM64 family inner membrane protein YdjZ
rbsK/rbiA		Bifunctional ribokinase/ribose-5-phosphate isomerase A
mtlD		Mannitol-1-phosphate 5-dehydrogenase
group_6772		hypothetical protein
group_6773		hypothetical protein
metP_1		Methionine import system permease protein MetP
folA		Dihydrofolate reductase
group_6779		hypothetical protein
csbB		Putative glycosyltransferase CsbB
group_6782		putative amino-acid ABC transporter-binding protein
sfp		4'-phosphopantetheinyl transferase sfp
tarF_2		Teichoic acid glycerol-phosphate transferase
wecC		UDP-N-acetyl-D-mannosamine dehydrogenase
emrK		putative multidrug resistance protein EmrK
cmk		Cytidylate kinase
tdk		Thymidine kinase
fabD		Malonyl CoA-acyl carrier protein transacylase
group_6790		hypothetical protein
glcR		HTH-type transcriptional repressor GlcR
iucA_1		N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
group_6793		hypothetical protein
truA		tRNA pseudouridine synthase A
purL		Phosphoribosylformylglycinamidine synthase subunit PurL
tilS		tRNA(Ile)-lysidine synthase
ponA		Penicillin-binding protein 1A/1B
trpS		Tryptophan--tRNA ligase
glcU_1		putative glucose uptake protein GlcU
glmU		Bifunctional protein GlmU
hutU		Urocanate hydratase
rnpA		Ribonuclease P protein component
crr		PTS system glucose-specific EIIA component
atl_1		Bifunctional autolysin
iucC_2		Aerobactin synthase
murI		Glutamate racemase
cidB		Holin-like protein CidB
oatA_1		O-acetyltransferase OatA
folK		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
dck		Deoxyadenosine/deoxycytidine kinase
group_6817		2-oxoglutaramate amidase
rpmI		50S ribosomal protein L35
group_6819		Putative esterase
group_6820		hypothetical protein
group_6821		Putative lipid kinase
group_6822		hypothetical protein
fadN		putative 3-hydroxyacyl-CoA dehydrogenase
gsiA		Glutathione import ATP-binding protein GsiA
odhB		Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
efeN		putative deferrochelatase/peroxidase EfeN
folB		Dihydroneopterin aldolase
group_6828		hypothetical protein
kynB		Kynurenine formamidase
nagB_1		Glucosamine-6-phosphate deaminase
group_6831		putative zinc protease
prkC		Serine/threonine-protein kinase PrkC
recU		Holliday junction resolvase RecU
yrrB		TPR repeat-containing protein YrrB
purE		N5-carboxyaminoimidazole ribonucleotide mutase
rsmE		Ribosomal RNA small subunit methyltransferase E
group_6837		hypothetical protein
rsmB		Ribosomal RNA small subunit methyltransferase B
ackA		Acetate kinase
nreB		Oxygen sensor histidine kinase NreB
group_6841		hypothetical protein
group_6842		hypothetical protein
albF		Putative zinc protease AlbF
metC		Cystathionine beta-lyase MetC
nasD		Nitrite reductase [NAD(P)H]
group_6846		D-arabitol-phosphate dehydrogenase
group_6847		hypothetical protein
group_703		hypothetical protein
yecD		Isochorismatase family protein YecD
rocD2_1		Ornithine aminotransferase 2
group_728		hypothetical protein
iucA_2		N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase
group_803		hypothetical protein
group_814		hypothetical protein
ftsK		DNA translocase FtsK
group_824		hypothetical protein
efeU		Ferrous iron permease EfeU
grsB		Gramicidin S synthase 2
dapA		4-hydroxy-tetrahydrodipicolinate synthase
hisC_2		Histidinol-phosphate aminotransferase
group_869		hypothetical protein
group_870		hypothetical protein
bioD1		ATP-dependent dethiobiotin synthetase BioD 1
mrpC		Na( )/H( ) antiporter subunit C
group_965		hypothetical protein
bltD_1		Spermine/spermidine acetyltransferase
mccA		O-acetylserine dependent cystathionine beta-synthase
group_976		hypothetical protein
group_977		hypothetical protein
group_978		hypothetical protein
group_979		hypothetical protein
iucC_1		Aerobactin synthase
group_986		hypothetical protein
ebpS		Elastin-binding protein EbpS
group_1003		hypothetical protein
yokF		SPBc2 prophage-derived endonuclease YokF
zntR		HTH-type transcriptional regulator ZntR
group_1031		hypothetical protein
group_1181		hypothetical protein
ghrB_2		Glyoxylate/hydroxypyruvate reductase B
sspP		Staphopain A
comEC		ComE operon protein 3
lipA_2		Lipase 1
pnbA		Para-nitrobenzyl esterase
btr		HTH-type transcriptional activator Btr
group_1472		hypothetical protein
yfmC_1		Fe(3 )-citrate-binding protein YfmC
group_1484		hypothetical protein
group_1494		hypothetical protein
uhpT		Hexose-6-phosphate:phosphate antiporter
norB_4		Quinolone resistance protein NorB
malR		HTH-type transcriptional regulator MalR
comEA		ComE operon protein 1
dtd		D-aminoacyl-tRNA deacylase
glpE_2		Thiosulfate sulfurtransferase GlpE
glcB		PTS system glucoside-specific EIICBA component
group_1661		hypothetical protein
group_1675		hypothetical protein
pip		Proline iminopeptidase
tarB		Teichoic acid glycerol-phosphate primase
group_1850		hypothetical protein
group_1863		hypothetical protein
group_1875		Serine protease HtrA-like protein
group_1876		hypothetical protein
isdA		Iron-regulated surface determinant protein A
group_1913		hypothetical protein
nadE		NH(3)-dependent NAD( ) synthetase
dapE		putative succinyl-diaminopimelate desuccinylase
ktrB_2		Ktr system potassium uptake protein B
efeM		putative iron uptake system component EfeM
ssuC		Putative aliphatic sulfonates transport permease protein SsuC
lctP_1		L-lactate permease
cls_1		Cardiolipin synthase
group_2027		Putative phosphatase
group_2028		hypothetical protein
group_2037		hypothetical protein
rnhA		14.7 kDa ribonuclease H-like protein
aroC		Chorismate synthase
menG		Demethylmenaquinone methyltransferase
comGA		ComG operon protein 1
group_2060		GTP cyclohydrolase 1 type 2 
tylM1		dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase
nadD		putative nicotinate-nucleotide adenylyltransferase
mtnN		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
ldhD_1		D-lactate dehydrogenase
yghA		putative oxidoreductase YghA
hemY		Protoporphyrinogen oxidase
ydeN		Putative hydrolase YdeN
group_2181		hypothetical protein
mleN_2		Malate-2H( )/Na( )-lactate antiporter
dehH1		Haloacetate dehalogenase H-1
group_2396		hypothetical protein
group_2401		hypothetical protein
group_2422		hypothetical protein
pepA_1		Cytosol aminopeptidase
group_2432		hypothetical protein
murD		UDP-N-acetylmuramoylalanine--D-glutamate ligase
pgsA		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
pncB2		Nicotinate phosphoribosyltransferase pncB2
leuC		3-isopropylmalate dehydratase large subunit
psuK		Pseudouridine kinase
group_2567		hypothetical protein
tarI		Ribitol-5-phosphate cytidylyltransferase 1
malF		Maltose transport system permease protein MalF
cycB		Cyclodextrin-binding protein
acr1		putative oxidoreductase
yhbY		RNA-binding protein YhbY
group_2704		hypothetical protein
group_2708		hypothetical protein
oatA_2		O-acetyltransferase OatA
rihB		Pyrimidine-specific ribonucleoside hydrolase RihB
ureF		Urease accessory protein UreF
group_2787		hypothetical protein
panS		Pantothenate precursors transporter PanS
group_2793		hypothetical protein
group_2809		hypothetical protein
narG		Respiratory nitrate reductase 1 alpha chain
pdp		Pyrimidine-nucleoside phosphorylase
rpoB		DNA-directed RNA polymerase subunit beta
gabR		HTH-type transcriptional regulatory protein GabR
gapA1		Glyceraldehyde-3-phosphate dehydrogenase 1
group_3236		hypothetical protein
argF		Ornithine carbamoyltransferase
group_3293		hypothetical protein
ftnA		Bacterial non-heme ferritin
pfbA		Plasmin and fibronectin-binding protein A
group_3301		hypothetical protein
tarF_1		Teichoic acid glycerol-phosphate transferase
group_3385		hypothetical protein
yxeP_1		putative hydrolase YxeP
ltaE		Low specificity L-threonine aldolase
group_3406		hypothetical protein
group_3413		Putative esterase
parC		DNA topoisomerase 4 subunit A
murG		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
group_3429		hypothetical protein
yhhQ		Inner membrane protein YhhQ
ypcP		5'-3' exonuclease
group_3446		hypothetical protein
aroE		Shikimate dehydrogenase (NADP( ))
group_3461		hypothetical protein
group_3463	lysP_1	Lysine-specific permease
group_3480		hypothetical protein
icaD		Poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein IcaD
rplE		50S ribosomal protein L5
sarR		HTH-type transcriptional regulator SarR
rsbU		Phosphoserine phosphatase RsbU
yhfK		putative sugar epimerase YhfK
azo1		FMN-dependent NADPH-azoreductase
rnmV_1		Ribonuclease M5
argS		Arginine--tRNA ligase
group_4042		hypothetical protein
dosC		Diguanylate cyclase DosC
eno		Enolase
group_4073		hypothetical protein
group_4075		hypothetical protein
erpA		Iron-sulfur cluster insertion protein ErpA
spxA		Regulatory protein Spx
group_4078		Putative phosphoesterase
ktrB_1		Ktr system potassium uptake protein B
def		Peptide deformylase
group_4083		hypothetical protein
priA		Primosomal protein N'
perR		Peroxide-responsive repressor PerR
group_4088		hypothetical protein
polC_2		DNA polymerase III PolC-type
dinB		DNA polymerase IV
group_4091		hypothetical protein
rlmCD		23S rRNA (uracil-C(5))-methyltransferase RlmCD
dagK		Diacylglycerol kinase
rutB		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
ppaC		putative manganese-dependent inorganic pyrophosphatase
mdlD		NAD(P)-dependent benzaldehyde dehydrogenase
pgl		6-phosphogluconolactonase
group_4120		hypothetical protein
essB		ESAT-6 secretion machinery protein EssB
esaB		ESAT-6 secretion accessory factor EsaB
group_4127		hypothetical protein
esaA		ESAT-6 secretion accessory factor EsaA
esxA		ESAT-6 secretion system extracellular protein A
lytR_1		Sensory transduction protein LytR
norB_2		Quinolone resistance protein NorB
deoD		Purine nucleoside phosphorylase DeoD-type
group_4143		hypothetical protein
glpP		Glycerol uptake operon antiterminator regulatory protein
acnA		Aconitate hydratase A
brnQ_3		Branched-chain amino acid transport system 2 carrier protein
nirQ		Denitrification regulatory protein NirQ
group_4159		hypothetical protein
moeZ		putative adenylyltransferase/sulfurtransferase MoeZ
znuB		High-affinity zinc uptake system membrane protein ZnuB
trmK		tRNA (adenine(22)-N(1))-methyltransferase
glyQS		Glycine--tRNA ligase
era		GTPase Era
rpsT		30S ribosomal protein S20
group_4167		hypothetical protein
tadA_1		tRNA-specific adenosine deaminase
rsfS		Ribosomal silencing factor RsfS
group_4170		hypothetical protein
der_3		GTPase Der
gph_2		Phosphoglycolate phosphatase
rpmA		50S ribosomal protein L27
valS		Valine--tRNA ligase
group_4181		hypothetical protein
icaR		Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR
cspLA		Cold shock-like protein CspLA
rpsK		30S ribosomal protein S11
rplO		50S ribosomal protein L15
rplN		50S ribosomal protein L14
rplD		50S ribosomal protein L4
group_4195		Putative 3-methyladenine DNA glycosylase
bcr_1		Bicyclomycin resistance protein
group_4197		hypothetical protein
ahpD		Alkyl hydroperoxide reductase AhpD
yehR		putative lipoprotein YehR
group_4209		hypothetical protein
mazF		Endoribonuclease MazF
atpD		ATP synthase subunit beta
tuf		Elongation factor Tu
rpsG		30S ribosomal protein S7
rplA		50S ribosomal protein L1
rplK		50S ribosomal protein L11
group_4235		tRNA-Leu(caa)
hemE		Uroporphyrinogen decarboxylase
hemH		Ferrochelatase
pspB		Putative phosphoserine phosphatase 2
mggB_1		Mannosylglucosyl-3-phosphoglycerate phosphatase
isdH		Iron-regulated surface determinant protein H
group_549		hypothetical protein
group_5868		hypothetical protein
rbfA		Ribosome-binding factor A
group_5923		hypothetical protein
pdhB		Pyruvate dehydrogenase E1 component subunit beta
group_6064		hypothetical protein
prsA		Foldase protein PrsA
mntH_1		Divalent metal cation transporter MntH
ecsA		ABC-type transporter ATP-binding protein EcsA
rplGA		putative ribosomal protein YlxQ
ywqD_2		Tyrosine-protein kinase YwqD
group_6418		Ferredoxin--NADP reductase
group_6568		Purine nucleoside phosphoramidase
group_6588		hypothetical protein
group_6734		hypothetical protein
potD		Spermidine/putrescine-binding periplasmic protein
group_6811		hypothetical protein
group_741		hypothetical protein
citN		Citrate transporter
group_871		hypothetical protein
menC		o-succinylbenzoate synthase
aroB		3-dehydroquinate synthase
ybiV		Sugar phosphatase YbiV
nth_2		Endonuclease III
tagX		Putative glycosyltransferase TagX
group_1195		hypothetical protein
abgB		hypothetical protein
fib_2		Fibrinogen-binding protein
nfrA		NADPH-dependent oxidoreductase
parE		DNA topoisomerase 4 subunit B
group_1666		hypothetical protein
group_1682		putative lipoprotein
mrpF		Na( )/H( ) antiporter subunit F
pbpX_1		Putative penicillin-binding protein PbpX
group_1906		hypothetical protein
plsX		Phosphate acyltransferase
recA		Protein RecA
group_2022		Monoacylglycerol lipase
pstC1		Phosphate transport system permease protein PstC 1
yxeP_3		putative hydrolase YxeP
mdtG		Multidrug resistance protein MdtG
ispE		4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
epsJ		putative glycosyltransferase EpsJ
group_2420		hypothetical protein
group_2421		hypothetical protein
group_2434		hypothetical protein
group_2496		hypothetical protein
group_2498		hypothetical protein
tarL		Teichoic acid ribitol-phosphate polymerase TarL
tarK		Teichoic acid ribitol-phosphate polymerase TarK
manR_1		Transcriptional regulator ManR
alsT		Amino-acid carrier protein AlsT
group_2636		putative CtpA-like serine protease
proC		Pyrroline-5-carboxylate reductase
graS_2		Sensor histidine kinase GraS
bceA_2		Bacitracin export ATP-binding protein BceA
group_2788		hypothetical protein
narH		Respiratory nitrate reductase 1 beta chain
group_2818		hypothetical protein
ulaA		Ascorbate-specific PTS system EIIC component
mfd		Transcription-repair-coupling factor
group_3179		hypothetical protein
nupG		Purine nucleoside transport protein NupG
group_3192		hypothetical protein
ybaK		Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
group_3253		hypothetical protein
group_3260		hypothetical protein
group_3297		hypothetical protein
azoR		FMN-dependent NADH-azoreductase
group_3410		hypothetical protein
sbcD		Nuclease SbcCD subunit D
desR		Transcriptional regulatory protein DesR
group_4074		hypothetical protein
bcp		Putative peroxiredoxin bcp
group_4094		hypothetical protein
group_4099		hypothetical protein
group_4100		hypothetical protein
nucH		Thermonuclease
plsY		Glycerol-3-phosphate acyltransferase
sodA		Superoxide dismutase [Mn] 1
group_4173		hypothetical protein
engB		putative GTP-binding protein EngB
tal		Transaldolase
rpsI		30S ribosomal protein S9
acpS		Holo-[acyl-carrier-protein] synthase
group_4282		hypothetical protein
coiA		Competence protein CoiA
nos		Nitric oxide synthase oxygenase
group_6697		hypothetical protein
group_855		hypothetical protein
group_859		hypothetical protein
pbpX_2		Putative penicillin-binding protein PbpX
ampR		HTH-type transcriptional activator AmpR
kdpA		Potassium-transporting ATPase potassium-binding subunit
group_1076		hypothetical protein
group_1180		hypothetical protein
group_1241		hypothetical protein
group_1257		hypothetical protein
dhaK		PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
group_1553		hypothetical protein
trpD2		Anthranilate phosphoribosyltransferase 2
cobT		Aerobic cobaltochelatase subunit CobT
limB_2		Limonene 1,2-monooxygenase
secY2		Accessory Sec system protein translocase subunit SecY2
mleN_1		Malate-2H( )/Na( )-lactate antiporter
phrB		Deoxyribodipyrimidine photo-lyase
arcC1		Carbamate kinase 1
yicL		putative inner membrane transporter YicL
phoB		Alkaline phosphatase 3
group_2455		hypothetical protein
trmFO		Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
group_2479		hypothetical protein
yqfL		Putative pyruvate, phosphate dikinase regulatory protein
prmA		Ribosomal protein L11 methyltransferase
ruvB		Holliday junction ATP-dependent DNA helicase RuvB
yhfP		Putative quinone oxidoreductase YhfP
hld		Delta-hemolysin
group_3489		hypothetical protein
group_3490		hypothetical protein
group_4156		hypothetical protein
group_4231		tRNA-Leu(taa)
group_4233		tRNA-Arg(acg)
dpiB		hypothetical protein
group_536		hypothetical protein
group_6335		tRNA-Pro(tgg)
mrpA		Na( )/H( ) antiporter subunit A
group_689		hypothetical protein
rhaS		HTH-type transcriptional activator RhaS
group_1036		hypothetical protein
group_1200		hypothetical protein
tag		DNA-3-methyladenine glycosylase 1
lytN_2		putative cell wall hydrolase LytN
deoC1		Deoxyribose-phosphate aldolase 1
trpB		Tryptophan synthase beta chain
pheT_1		Phenylalanine--tRNA ligase beta subunit
pheA		P-protein
nrgA		Ammonium transporter NrgA
miaB		tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
group_2078		putative membrane protein
ftsA		Cell division protein FtsA
gltB_2		Glutamate synthase [NADPH] large chain
tagH_2		Teichoic acids export ATP-binding protein TagH
ptsG_2		PTS system glucose-specific EIICBA component
group_3256		hypothetical protein
group_4072		hypothetical protein
group_5980		tRNA-Val(tac)
group_5983		tRNA-Val(tac)
emrY		putative multidrug resistance protein EmrY
yflS		Putative malate transporter YflS
group_992		hypothetical protein
yciC_3		Putative metal chaperone YciC
group_1466		putative transcriptional regulatory protein
suhB_1		Inositol-1-monophosphatase
dus		putative tRNA-dihydrouridine synthase
irtA		Putative multidrug export ATP-binding/permease protein
group_1844		hypothetical protein
group_2018		hypothetical protein
mutS_1		DNA mismatch repair protein MutS
dnaD		DNA replication protein DnaD
aur		Zinc metalloproteinase aureolysin
dacA		D-alanyl-D-alanine carboxypeptidase DacA
group_2388		hypothetical protein
pepT_1		Peptidase T
fib_1		Fibrinogen-binding protein
sdcS		Sodium-dependent dicarboxylate transporter SdcS
mepA		Multidrug export protein MepA
ysdC_1		Putative aminopeptidase YsdC
entA_1		Enterotoxin type A
ldh2		L-lactate dehydrogenase 2
graR_2		Response regulator protein GraR
nicF		N-carbamoylsarcosine amidase
hisF		Imidazole glycerol phosphate synthase subunit HisF
group_2846		tRNA-Tyr(gta)
murF_2		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
group_3191		hypothetical protein
sodM		Superoxide dismutase [Mn/Fe] 2
lpl2_6		putative lipoprotein
fnbA_1		Fibronectin-binding protein A
puuR		HTH-type transcriptional regulator PuuR
sspA		Glutamyl endopeptidase
group_710	yxlF_1	putative ABC transporter ATP-binding protein YxlF
fecD_1		Fe(3 ) dicitrate transport system permease protein FecD
hlb_2		Phospholipase C
group_1059		putative ABC transporter ATP-binding protein
group_1634		hypothetical protein
ecfA1		Energy-coupling factor transporter ATP-binding protein EcfA1
group_1673		Zinc-type alcohol dehydrogenase-like protein
serA		D-3-phosphoglycerate dehydrogenase
acsA_1		Acetyl-coenzyme A synthetase
secA_2		Protein translocase subunit SecA
rodA		Peptidoglycan glycosyltransferase RodA
sle1_2		N-acetylmuramoyl-L-alanine amidase sle1
potA		Spermidine/putrescine import ATP-binding protein PotA
gph_1		Phosphoglycolate phosphatase
gltA		Glutamate synthase [NADPH] large chain
kipI_2		Kinase A inhibitor
ydfJ		Membrane protein YdfJ
der_1		GTPase Der
group_1535		Protein-ADP-ribose hydrolase
nupC_1		Nucleoside permease NupC
group_2230		hypothetical protein
ebh_2		Extracellular matrix-binding protein ebh
hchA		Molecular chaperone Hsp31 and glyoxalase 3
feoB_2		Fe(2 ) transporter FeoB
cfiB_1		2-oxoglutarate carboxylase small subunit
nuc		Thermonuclease
comK		Competence transcription factor
ydcV		Inner membrane ABC transporter permease protein YdcV
group_637		hypothetical protein
rsmD		Ribosomal RNA small subunit methyltransferase D
potB		Spermidine/putrescine transport system permease protein PotB
group_811		hypothetical protein
lip2		Lipase 2
tuaA		Putative undecaprenyl-phosphate N-acetylgalactosaminyl 1-phosphate transferase
argO		Arginine exporter protein ArgO
sigB		RNA polymerase sigma-B factor
glpQ_2		Glycerophosphodiester phosphodiesterase
yfiH		Laccase domain protein YfiH
sdrE		Serine-aspartate repeat-containing protein E
emrB_2		Multidrug export protein EmrB
group_2844		tRNA-Lys(ttt)
cspA_1		Cold shock protein CspA
group_3299		hypothetical protein
oppD_3		Oligopeptide transport ATP-binding protein OppD
group_6070		tRNA-Ala(tgc)
group_6074		tRNA-Ala(tgc)
group_6336		tRNA-Pro(tgg)
group_6361		tRNA-Glu(ttc)
azoB		NAD(P)H azoreductase
group_958		hypothetical protein
infB		Translation initiation factor IF-2
mutS_2		DNA mismatch repair protein MutS
yfnB		Putative HAD-hydrolase YfnB
gltB_1		Glutamate synthase [NADPH] small chain
group_2452		Antibacterial protein 3
group_2680		Cobalt-dependent inorganic pyrophosphatase
sarA		Transcriptional regulator SarA
group_3582		tRNA-Ser(tga)
dppC		Dipeptide transport system permease protein DppC
group_530		hypothetical protein
femA_3		Aminoacyltransferase FemA
group_726		hypothetical protein
group_748		hypothetical protein
group_832		hypothetical protein
group_1245		hypothetical protein
group_1258		hypothetical protein
group_1556		Oleate hydratase
glpE_1		Thiosulfate sulfurtransferase GlpE
hlgA		Gamma-hemolysin component A
deoD1		Purine nucleoside phosphorylase DeoD-type 1
scn_3		Staphylococcal complement inhibitor
group_2546		hypothetical protein
group_2885		tRNA-His(gtg)
group_3267		hypothetical protein
rpmF		50S ribosomal protein L32
group_6359		tRNA-Glu(ttc)
group_937		hypothetical protein
setC		Sugar efflux transporter C
dnaE		DNA polymerase III subunit alpha
dppE		Dipeptide-binding protein DppE
cynR_1		HTH-type transcriptional regulator CynR
rplS		50S ribosomal protein L19
agrA		Accessory gene regulator A
icaC		putative poly-beta-1,6-N-acetyl-D-glucosamine export protein
coaD		Phosphopantetheine adenylyltransferase
group_5985		tRNA-Val(tac)
group_6564		hypothetical protein
bceB_3		Bacitracin export permease protein BceB
group_1320	abgB	p-aminobenzoyl-glutamate hydrolase subunit B
mepM_1		Murein DD-endopeptidase MepM
appA		Oligopeptide-binding protein AppA
dprA		DNA processing protein DprA
group_1529		hypothetical protein
yxeP_4		putative hydrolase YxeP
yydI		putative peptide export ATP-binding protein YydI
group_1979		NAD(P)H-dependent FAD/FMN reductase
group_2158		putative hydrolase
putP		Sodium/proline symporter
sak		Staphylokinase
group_2552		hypothetical protein
czcD_1		Cadmium, cobalt and zinc/H( )-K( ) antiporter
group_2841		tRNA-Lys(ttt)
group_3458		hypothetical protein
femA_1		Aminoacyltransferase FemA
group_6812		hypothetical protein
deoC2		Deoxyribose-phosphate aldolase 2
group_2604	ywqE_2	Tyrosine-protein phosphatase YwqE
group_375		Ribonuclease
group_804		hypothetical protein
group_1539		putative oxidoreductase
ldhD_2		D-lactate dehydrogenase
icaA		Poly-beta-1,6-N-acetyl-D-glucosamine synthase
icaB		Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase
hutI		Imidazolonepropionase
yydJ		putative peptide export permease protein YydJ
group_880		hypothetical protein
lacC_1		Tagatose-6-phosphate kinase
oppD_4		Oligopeptide transport ATP-binding protein OppD
ywqN		Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
licR		putative licABCH operon regulator
group_2570		hypothetical protein
nikB_2		Nickel transport system permease protein NikB
nudF		ADP-ribose pyrophosphatase
cmtB		Mannitol-specific cryptic phosphotransferase enzyme IIA component
blaZ		Beta-lactamase
yitU_2		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
accC		Biotin carboxylase
sftA		DNA translocase SftA
acp		Sodium/proton-dependent alanine carrier protein
ybbH_2		putative HTH-type transcriptional regulator YbbH
yhdN_2		General stress protein 69
femX		Lipid II:glycine glycyltransferase
sglT		Sodium/glucose cotransporter
cdaR		CdaA regulatory protein CdaR
group_3314		hypothetical protein
yefM		Antitoxin YefM
ppaX		Pyrophosphatase PpaX
cocE		Cocaine esterase
group_1238		putative lipoprotein
smc_2		hypothetical protein
catE_1		Catechol-2,3-dioxygenase
group_1590		hypothetical protein
lipA_1		Lipoyl synthase
nudG		CTP pyrophosphohydrolase
hylB		Hyaluronate lyase
lpl2_3		putative lipoprotein
sraP		Serine-rich adhesin for platelets
group_1520		hypothetical protein
glpT		Glycerol-3-phosphate transporter
limB_1		Limonene 1,2-monooxygenase
yoeB		Toxin YoeB
group_1933		hypothetical protein
gsiD_3		Glutathione transport system permease protein GsiD
bacF		Transaminase BacF
group_2509		hypothetical protein
group_3307		hypothetical protein
group_3308		hypothetical protein
group_3348		UDP-glucose 4-epimerase
group_3361		hypothetical protein
group_3383		Formate dehydrogenase
group_4136		hypothetical protein
oppF_2		Oligopeptide transport ATP-binding protein OppF
lpl2_1		putative lipoprotein
hlb_1		Phospholipase C
cobB_2		hypothetical protein
alsS		Acetolactate synthase
gsiC_2		Glutathione transport system permease protein GsiC
xerC_2		Tyrosine recombinase XerC
aldC_2		Alpha-acetolactate decarboxylase
group_2893		tRNA-His(gtg)
yhaI		Inner membrane protein YhaI
group_1028		hypothetical protein
group_1090		hypothetical protein
hmoB		Heme-degrading monooxygenase HmoB
group_1291		Putative formate dehydrogenase
relJ		Antitoxin RelJ
moaE		Molybdopterin synthase catalytic subunit
ebh_1		Extracellular matrix-binding protein ebh
group_696		hypothetical protein
group_1013		hypothetical protein
group_1689		Putative threonylcarbamoyl-AMP synthase
lytN_3		putative cell wall hydrolase LytN
group_3630		hypothetical protein
group_3871		hypothetical protein
ykoC_2		Putative HMP/thiamine permease protein YkoC
salL		Adenosyl-chloride synthase
group_6502		hypothetical protein
group_1033		hypothetical protein
lacG		6-phospho-beta-galactosidase
group_1515		hypothetical protein
mrpE		Na( )/H( ) antiporter subunit E
group_1935		hypothetical protein
group_1941		hypothetical protein
group_277		hypothetical protein
mepM_2		Murein DD-endopeptidase MepM
abgT		p-aminobenzoyl-glutamate transport protein
group_1228		hypothetical protein
melR_2		Melibiose operon regulatory protein
