	BE_Earth	BE_ISS	Cul_Earth	Cul_SC	Human	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	Cul_Earth_prop	Cul_SC_prop	fxn	p.val	p.adj.BH
Linear gramicidin dehydrogenase LgrE	0	0	0	0	6	5	0	0	45.4545454545455	18.1818181818182	0	0	Linear gramicidin dehydrogenase LgrE	0.0721216909130395	0.540355039907748
Putative ketoacyl reductase	0	1	1	2	14	5	0	12.5	45.4545454545455	42.4242424242424	100	100	Putative ketoacyl reductase	0.0721155088645913	0.540355039907748
Putative pyridoxal phosphate-dependent aminotransferase EpsN	0	0	0	0	6	5	0	0	45.4545454545455	18.1818181818182	0	0	Putative pyridoxal phosphate-dependent aminotransferase EpsN	0.0721216909130396	0.540355039907748
Sialidase	0	0	0	0	6	5	0	0	45.4545454545455	18.1818181818182	0	0	Sialidase	0.0721216909130395	0.540355039907748
Arsenical resistance operon trans-acting repressor ArsD	0	0	0	0	9	5	0	0	45.4545454545455	27.2727272727273	0	0	Arsenical resistance operon trans-acting repressor ArsD	0.0728213508955638	0.542799146290782
Thermophilic serine proteinase	1	0	0	0	9	5	100	0	45.4545454545455	27.2727272727273	0	0	Thermophilic serine proteinase	0.0728213508955642	0.542799146290782
ATP-dependent Clp protease proteolytic subunit 1	0	0	0	0	7	5	0	0	45.4545454545455	21.2121212121212	0	0	ATP-dependent Clp protease proteolytic subunit 1	0.076672965179672	0.567344818047163
Protective antigen	1	0	0	0	8	5	100	0	45.4545454545455	24.2424242424242	0	0	Protective antigen	0.0766998670424957	0.567344818047163
Transcriptional activator protein CopR	0	0	0	0	7	5	0	0	45.4545454545455	21.2121212121212	0	0	Transcriptional activator protein CopR	0.0766729651796723	0.567344818047163
dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase	1	8	1	2	31	7	100	100	63.6363636363636	93.9393939393939	100	100	dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase	0.0780764193972572	0.567420377969567
dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	1	8	1	2	31	7	100	100	63.6363636363636	93.9393939393939	100	100	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	0.0780764193972572	0.567420377969567
Heterocyst differentiation ATP-binding protein HepA	0	0	0	0	2	4	0	0	36.3636363636364	6.06060606060606	0	0	Heterocyst differentiation ATP-binding protein HepA	0.0780764193972568	0.567420377969567
L-glyceraldehyde 3-phosphate reductase	0	0	0	0	2	4	0	0	36.3636363636364	6.06060606060606	0	0	L-glyceraldehyde 3-phosphate reductase	0.0780764193972568	0.567420377969567
Osmoregulated proline transporter OpuE	1	8	1	2	31	7	100	100	63.6363636363636	93.9393939393939	100	100	Osmoregulated proline transporter OpuE	0.0780764193972568	0.567420377969567
Transcriptional regulatory protein YpdB	1	8	1	2	31	7	100	100	63.6363636363636	93.9393939393939	100	100	Transcriptional regulatory protein YpdB	0.0780764193972571	0.567420377969567
Transmembrane protein EpsG	0	0	0	0	2	4	0	0	36.3636363636364	6.06060606060606	0	0	Transmembrane protein EpsG	0.0780764193972568	0.567420377969567
Ribonucleoside-diphosphate reductase subunit alpha	1	8	1	2	21	8	100	100	72.7272727272727	63.6363636363636	100	100	Ribonucleoside-diphosphate reductase subunit alpha	0.0811202640755655	0.58807134081713
Peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK	0	0	0	0	11	4	0	0	36.3636363636364	33.3333333333333	0	0	Peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK	0.0906937801783663	0.654210468929307
Signal peptidase I V	1	0	0	0	11	4	100	0	36.3636363636364	33.3333333333333	0	0	Signal peptidase I V	0.0906937801783663	0.654210468929307
Ascorbate-specific PTS system EIIB component	0	0	0	0	7	0	0	0	0	21.2121212121212	0	0	Ascorbate-specific PTS system EIIB component	0.0982863151867941	0.696873946946367
Biofilm dispersion protein BdlA	0	0	0	0	7	0	0	0	0	21.2121212121212	0	0	Biofilm dispersion protein BdlA	0.0982863151867941	0.696873946946367
D-allose-binding periplasmic protein	0	0	0	0	7	0	0	0	0	21.2121212121212	0	0	D-allose-binding periplasmic protein	0.0982863151867941	0.696873946946367
Inner membrane protein YghB	0	0	0	0	7	0	0	0	0	21.2121212121212	0	0	Inner membrane protein YghB	0.0982863151867941	0.696873946946367
L-fucose isomerase	0	0	0	0	7	0	0	0	0	21.2121212121212	0	0	L-fucose isomerase	0.0982863151867941	0.696873946946367
L-fucose mutarotase	0	0	0	0	7	0	0	0	0	21.2121212121212	0	0	L-fucose mutarotase	0.0982863151867941	0.696873946946367
Sorbitol-6-phosphate 2-dehydrogenase	0	0	0	0	7	0	0	0	0	21.2121212121212	0	0	Sorbitol-6-phosphate 2-dehydrogenase	0.0982863151867941	0.696873946946367
Plasmid recombination enzyme	0	0	0	0	11	2	0	0	18.1818181818182	33.3333333333333	0	0	Plasmid recombination enzyme	0.102686933360417	0.722786719803225
Right origin-binding protein	1	8	1	2	22	9	100	100	81.8181818181818	66.6666666666667	100	100	Right origin-binding protein	0.102686933360417	0.722786719803225
Transposon Tn7 transposition protein TnsA	1	0	0	0	11	2	100	0	18.1818181818182	33.3333333333333	0	0	Transposon Tn7 transposition protein TnsA	0.102686933360417	0.722786719803225
A-type flagellin	1	8	1	2	23	7	100	100	63.6363636363636	69.6969696969697	100	100	A-type flagellin	0.111953248579223	0.780451063836455
Anaerobic sulfatase-maturating enzyme	0	0	0	0	11	3	0	0	27.2727272727273	33.3333333333333	0	0	Anaerobic sulfatase-maturating enzyme	0.111742687819893	0.780451063836455
Putative prophage phiRv2 integrase	0	0	0	0	10	4	0	0	36.3636363636364	30.3030303030303	0	0	Putative prophage phiRv2 integrase	0.111953248579223	0.780451063836455
Tropinesterase	0	0	0	0	10	4	0	0	36.3636363636364	30.3030303030303	0	0	Tropinesterase	0.111953248579223	0.780451063836455
Glc operon transcriptional activator	0	0	0	0	3	4	0	0	36.3636363636364	9.09090909090909	0	0	Glc operon transcriptional activator	0.116107777842899	0.801722827052985
putative transporter YycB	0	0	0	0	3	4	0	0	36.3636363636364	9.09090909090909	0	0	putative transporter YycB	0.116107777842899	0.801722827052985
Spore coat polysaccharide biosynthesis protein SpsA	0	0	0	0	3	4	0	0	36.3636363636364	9.09090909090909	0	0	Spore coat polysaccharide biosynthesis protein SpsA	0.116107777842899	0.801722827052985
Succinyl-CoA:coenzyme A transferase	1	8	1	2	30	7	100	100	63.6363636363636	90.9090909090909	100	100	Succinyl-CoA:coenzyme A transferase	0.116107777842898	0.801722827052985
tRNA-Asn(gtt)	0	0	0	1	0	0	0	0	0	0	0	50	tRNA-Asn(gtt)	0.124524342870793	0.857801575178661
Betaine aldehyde dehydrogenase	0	0	0	0	9	4	0	0	36.3636363636364	27.2727272727273	0	0	Betaine aldehyde dehydrogenase	0.13273848752575	0.910072601974895
N-acetylmuramoyl-L-alanine amidase CwlA	0	0	0	0	9	4	0	0	36.3636363636364	27.2727272727273	0	0	N-acetylmuramoyl-L-alanine amidase CwlA	0.13273848752575	0.910072601974895
AB hydrolase superfamily protein YvaM	0	8	1	2	29	7	0	100	63.6363636363636	87.8787878787879	100	100	AB hydrolase superfamily protein YvaM	0.14542318603307	0.937167383753514
Acetamidase	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	Acetamidase	0.149585712439501	0.937167383753514
Alpha-monoglucosyldiacylglycerol synthase	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	Alpha-monoglucosyldiacylglycerol synthase	0.149585712439501	0.937167383753514
ATP synthase epsilon chain	1	8	1	2	33	9	100	100	81.8181818181818	100	100	100	ATP synthase epsilon chain	0.149585712439501	0.937167383753514
Bifunctional IPC transferase and DIPP synthase	0	0	0	0	1	3	0	0	27.2727272727273	3.03030303030303	0	0	Bifunctional IPC transferase and DIPP synthase	0.145896467671781	0.937167383753514
Biotin biosynthesis cytochrome P450	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	Biotin biosynthesis cytochrome P450	0.149585712439501	0.937167383753514
C4-dicarboxylate transport protein	1	8	1	2	23	8	100	100	72.7272727272727	69.6969696969697	100	100	C4-dicarboxylate transport protein	0.14811266744406	0.937167383753514
Conjugal transfer protein TraG	0	0	0	0	4	4	0	0	36.3636363636364	12.1212121212121	0	0	Conjugal transfer protein TraG	0.14542318603307	0.937167383753514
DEAD-box ATP-dependent RNA helicase CshB	1	8	1	2	33	9	100	100	81.8181818181818	100	100	100	DEAD-box ATP-dependent RNA helicase CshB	0.149585712439501	0.937167383753514
DsdX permease	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	DsdX permease	0.149585712439501	0.937167383753514
Enterochelin esterase	1	8	1	2	24	10	100	100	90.9090909090909	72.7272727272727	100	100	Enterochelin esterase	0.147954965512272	0.937167383753514
HTH-type transcriptional regulator ChbR	0	0	0	0	9	1	0	0	9.09090909090909	27.2727272727273	0	0	HTH-type transcriptional regulator ChbR	0.147954965512272	0.937167383753514
HTH-type transcriptional regulator CmtR	0	0	0	0	1	3	0	0	27.2727272727273	3.03030303030303	0	0	HTH-type transcriptional regulator CmtR	0.145896467671781	0.937167383753514
HTH-type transcriptional regulator TtgR	0	0	0	0	1	3	0	0	27.2727272727273	3.03030303030303	0	0	HTH-type transcriptional regulator TtgR	0.14589646767178	0.937167383753514
Intracellular serine protease	1	8	1	2	32	8	100	100	72.7272727272727	96.969696969697	100	100	Intracellular serine protease	0.145896467671781	0.937167383753514
L-allo-threonine aldolase	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	L-allo-threonine aldolase	0.149585712439501	0.937167383753514
Maleamate amidohydrolase	1	8	1	2	29	7	100	100	63.6363636363636	87.8787878787879	100	100	Maleamate amidohydrolase	0.14542318603307	0.937167383753514
Manganese transport system membrane protein MntB	1	0	0	0	1	3	100	0	27.2727272727273	3.03030303030303	0	0	Manganese transport system membrane protein MntB	0.14589646767178	0.937167383753514
Manganese-binding lipoprotein MntA	1	0	0	0	1	3	100	0	27.2727272727273	3.03030303030303	0	0	Manganese-binding lipoprotein MntA	0.14589646767178	0.937167383753514
Nitrogen regulation protein NR(I)	0	0	0	0	9	1	0	0	9.09090909090909	27.2727272727273	0	0	Nitrogen regulation protein NR(I)	0.147954965512272	0.937167383753514
Octanoyltransferase LipM	1	8	1	2	33	9	100	100	81.8181818181818	100	100	100	Octanoyltransferase LipM	0.149585712439501	0.937167383753514
Phage-like element PBSX protein XkdG	1	0	0	0	4	4	100	0	36.3636363636364	12.1212121212121	0	0	Phage-like element PBSX protein XkdG	0.14542318603307	0.937167383753514
Pro-Pro endopeptidase	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	Pro-Pro endopeptidase	0.149585712439501	0.937167383753514
Proline dehydrogenase	0	0	0	0	9	1	0	0	9.09090909090909	27.2727272727273	0	0	Proline dehydrogenase	0.147954965512272	0.937167383753514
putative 3-phenylpropionic acid transporter	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	putative 3-phenylpropionic acid transporter	0.149585712439501	0.937167383753514
Putative aliphatic sulfonates transport permease protein SsuC	1	8	1	2	33	9	100	100	81.8181818181818	100	100	100	Putative aliphatic sulfonates transport permease protein SsuC	0.149585712439501	0.937167383753514
Putative aliphatic sulfonates-binding protein	1	8	1	2	33	9	100	100	81.8181818181818	100	100	100	Putative aliphatic sulfonates-binding protein	0.149585712439501	0.937167383753514
putative cadmium-transporting ATPase	0	0	0	0	1	3	0	0	27.2727272727273	3.03030303030303	0	0	putative cadmium-transporting ATPase	0.145896467671781	0.937167383753514
Putative glutamine amidotransferase	0	0	0	0	9	1	0	0	9.09090909090909	27.2727272727273	0	0	Putative glutamine amidotransferase	0.147954965512272	0.937167383753514
putative siderophore biosynthesis protein SbnA	0	0	0	0	4	4	0	0	36.3636363636364	12.1212121212121	0	0	putative siderophore biosynthesis protein SbnA	0.14542318603307	0.937167383753514
Putative sporulation-specific glycosylase YdhD	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	Putative sporulation-specific glycosylase YdhD	0.149585712439501	0.937167383753514
putative zinc-binding alcohol dehydrogenase	1	8	1	2	32	8	100	100	72.7272727272727	96.969696969697	100	100	putative zinc-binding alcohol dehydrogenase	0.14589646767178	0.937167383753514
Sepiapterin reductase	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	Sepiapterin reductase	0.149585712439501	0.937167383753514
Serine protease Do-like HtrA	0	0	0	0	4	4	0	0	36.3636363636364	12.1212121212121	0	0	Serine protease Do-like HtrA	0.14542318603307	0.937167383753514
Small, acid-soluble spore protein P	1	8	1	2	33	9	100	100	81.8181818181818	100	100	100	Small, acid-soluble spore protein P	0.149585712439501	0.937167383753514
Subtilisin DY	0	0	0	0	10	3	0	0	27.2727272727273	30.3030303030303	0	0	Subtilisin DY	0.14811266744406	0.937167383753514
Toxin B	0	0	0	0	1	3	0	0	27.2727272727273	3.03030303030303	0	0	Toxin B	0.14589646767178	0.937167383753514
Transcriptional regulatory protein ZraR	0	0	0	0	1	3	0	0	27.2727272727273	3.03030303030303	0	0	Transcriptional regulatory protein ZraR	0.14589646767178	0.937167383753514
Transposon Tn7 transposition protein TnsC	0	0	0	0	10	2	0	0	18.1818181818182	30.3030303030303	0	0	Transposon Tn7 transposition protein TnsC	0.147436216657383	0.937167383753514
UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	0	0	0	0	0	2	0	0	18.1818181818182	0	0	0	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	0.149585712439501	0.937167383753514
ECF RNA polymerase sigma factor SigJ	1	8	1	2	27	11	100	100	100	81.8181818181818	100	100	ECF RNA polymerase sigma factor SigJ	0.157750557130714	0.967470188985205
L-Rhamnulokinase	0	0	0	0	6	0	0	0	0	18.1818181818182	0	0	L-Rhamnulokinase	0.157750557130714	0.967470188985205
Lactose transport system permease protein LacG	0	8	1	2	27	11	0	100	100	81.8181818181818	100	100	Lactose transport system permease protein LacG	0.157750557130714	0.967470188985205
Pentapeptide repeat protein	0	0	0	0	6	0	0	0	0	18.1818181818182	0	0	Pentapeptide repeat protein	0.157750557130714	0.967470188985205
putative anti-sigma-M factor YhdL	1	8	1	2	27	11	100	100	100	81.8181818181818	100	100	putative anti-sigma-M factor YhdL	0.157750557130714	0.967470188985205
Quaternary ammonium compound-resistance protein QacC	0	0	0	0	6	0	0	0	0	18.1818181818182	0	0	Quaternary ammonium compound-resistance protein QacC	0.157750557130714	0.967470188985205
Response regulator aspartate phosphatase A	0	0	0	0	6	0	0	0	0	18.1818181818182	0	0	Response regulator aspartate phosphatase A	0.157750557130714	0.967470188985205
sn-glycerol-3-phosphate import ATP-binding protein UgpC	0	8	1	2	27	11	0	100	100	81.8181818181818	100	100	sn-glycerol-3-phosphate import ATP-binding protein UgpC	0.157750557130714	0.967470188985205
sn-glycerol-3-phosphate transport system permease protein UgpA	0	8	1	2	27	11	0	100	100	81.8181818181818	100	100	sn-glycerol-3-phosphate transport system permease protein UgpA	0.157750557130714	0.967470188985205
sn-glycerol-3-phosphate-binding periplasmic protein UgpB	0	8	1	2	27	11	0	100	100	81.8181818181818	100	100	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	0.157750557130714	0.967470188985205
Aryl-phospho-beta-D-glucosidase BglH	1	0	0	0	7	4	100	0	36.3636363636364	21.2121212121212	0	0	Aryl-phospho-beta-D-glucosidase BglH	0.16366412451598	0.98913016625354
Cyanate hydratase	0	0	0	0	5	4	0	0	36.3636363636364	15.1515151515152	0	0	Cyanate hydratase	0.162951529228185	0.98913016625354
Modification methylase HhaI	1	0	0	0	7	4	100	0	36.3636363636364	21.2121212121212	0	0	Modification methylase HhaI	0.16366412451598	0.98913016625354
PTS system beta-glucoside-specific EIIBCA component	1	0	0	0	7	4	100	0	36.3636363636364	21.2121212121212	0	0	PTS system beta-glucoside-specific EIIBCA component	0.16366412451598	0.98913016625354
Putative phosphinothricin acetyltransferase YwnH	0	0	0	0	7	4	0	0	36.3636363636364	21.2121212121212	0	0	Putative phosphinothricin acetyltransferase YwnH	0.163664124515979	0.98913016625354
Teichoic acid poly(glycerol phosphate) polymerase	0	0	0	0	7	4	0	0	36.3636363636364	21.2121212121212	0	0	Teichoic acid poly(glycerol phosphate) polymerase	0.163664124515979	0.98913016625354
Transcription antiterminator LicT	1	0	0	0	7	4	100	0	36.3636363636364	21.2121212121212	0	0	Transcription antiterminator LicT	0.16366412451598	0.98913016625354
(R)-specific enoyl-CoA hydratase	1	8	1	2	33	11	100	100	100	100	100	100	(R)-specific enoyl-CoA hydratase	1	1
[LysW]-aminoadipate semialdehyde transaminase	0	1	0	0	0	0	0	12.5	0	0	0	0	[LysW]-aminoadipate semialdehyde transaminase	0.410346977928174	1
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	1	8	1	2	33	11	100	100	100	100	100	100	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	1	1
1-acyl-sn-glycerol-3-phosphate acyltransferase	1	8	1	2	33	11	100	100	100	100	100	100	1-acyl-sn-glycerol-3-phosphate acyltransferase	1	1
1-deoxy-D-xylulose 5-phosphate reductoisomerase	1	8	1	2	33	11	100	100	100	100	100	100	1-deoxy-D-xylulose 5-phosphate reductoisomerase	1	1
1-deoxy-D-xylulose-5-phosphate synthase	1	8	1	2	33	11	100	100	100	100	100	100	1-deoxy-D-xylulose-5-phosphate synthase	1	1
1-phosphatidylinositol phosphodiesterase	1	8	1	2	33	11	100	100	100	100	100	100	1-phosphatidylinositol phosphodiesterase	1	1
1-pyrroline-5-carboxylate dehydrogenase	1	8	1	2	33	11	100	100	100	100	100	100	1-pyrroline-5-carboxylate dehydrogenase	1	1
1,4-alpha-glucan branching enzyme GlgB	1	8	1	2	33	11	100	100	100	100	100	100	1,4-alpha-glucan branching enzyme GlgB	1	1
1,4-dihydroxy-2-naphthoate octaprenyltransferase	1	8	1	2	33	11	100	100	100	100	100	100	1,4-dihydroxy-2-naphthoate octaprenyltransferase	1	1
1,4-dihydroxy-2-naphthoyl-CoA synthase	1	8	1	2	33	11	100	100	100	100	100	100	1,4-dihydroxy-2-naphthoyl-CoA synthase	1	1
1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	1	0	0	0	0	0	100	0	0	0	0	0	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	1	1
10 kDa chaperonin	1	8	1	2	33	11	100	100	100	100	100	100	10 kDa chaperonin	1	1
14.7 kDa ribonuclease H-like protein	1	8	1	2	33	11	100	100	100	100	100	100	14.7 kDa ribonuclease H-like protein	1	1
18 kDa heat shock protein	1	8	1	2	33	11	100	100	100	100	100	100	18 kDa heat shock protein	1	1
2-(acetamidomethylene)succinate hydrolase	1	8	1	2	33	11	100	100	100	100	100	100	2-(acetamidomethylene)succinate hydrolase	1	1
2-(hydroxymethyl)glutarate dehydrogenase	1	8	1	2	33	10	100	100	90.9090909090909	100	100	100	2-(hydroxymethyl)glutarate dehydrogenase	0.509823321959338	1
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	1	8	1	2	33	11	100	100	100	100	100	100	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	1	1
2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase	0	0	0	0	0	1	0	0	9.09090909090909	0	0	0	2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase	0.509823321959338	1
2-aminoadipate transaminase	1	8	1	2	33	11	100	100	100	100	100	100	2-aminoadipate transaminase	1	1
2-aminoethylphosphonate--pyruvate transaminase	1	8	1	2	33	11	100	100	100	100	100	100	2-aminoethylphosphonate--pyruvate transaminase	1	1
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	1	8	1	2	33	11	100	100	100	100	100	100	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	1	1
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	1	8	1	2	33	11	100	100	100	100	100	100	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	1	1
2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD( ))	0	1	0	0	0	0	0	12.5	0	0	0	0	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD( ))	0.410346977928174	1
2-dehydro-3-deoxy-phosphogluconate aldolase	1	8	1	2	33	11	100	100	100	100	100	100	2-dehydro-3-deoxy-phosphogluconate aldolase	1	1
2-dehydro-3-deoxygluconokinase	1	8	1	2	33	11	100	100	100	100	100	100	2-dehydro-3-deoxygluconokinase	1	1
2-dehydropantoate 2-reductase	1	8	1	2	29	11	100	100	100	87.8787878787879	100	100	2-dehydropantoate 2-reductase	0.367665135374663	1
2-epi-5-epi-valiolone epimerase	1	8	1	2	32	11	100	100	100	96.969696969697	100	100	2-epi-5-epi-valiolone epimerase	0.904601710178056	1
2-haloacrylate reductase	1	8	1	2	33	11	100	100	100	100	100	100	2-haloacrylate reductase	1	1
2-heptyl-3-hydroxy-4(1H)-quinolone synthase	0	0	0	0	2	0	0	0	0	6.06060606060606	0	0	2-heptyl-3-hydroxy-4(1H)-quinolone synthase	0.718582237075454	1
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	1	8	1	2	32	11	100	100	100	96.969696969697	100	100	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase	0.904601710178056	1
2-hydroxy-3-oxopropionate reductase	1	8	1	2	33	11	100	100	100	100	100	100	2-hydroxy-3-oxopropionate reductase	1	1
2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase	1	8	1	2	33	11	100	100	100	100	100	100	2-hydroxy-6-oxo-6-(2'-aminophenyl)hexa-2,4-dienoic acid hydrolase	1	1
2-hydroxyhexa-2,4-dienoate hydratase	1	0	0	0	7	1	100	0	9.09090909090909	21.2121212121212	0	0	2-hydroxyhexa-2,4-dienoate hydratase	0.306922276645483	1
2-hydroxymuconate tautomerase	1	8	1	2	33	11	100	100	100	100	100	100	2-hydroxymuconate tautomerase	1	1
2-hydroxypent-2,4-dienoate hydratase	1	0	0	0	8	1	100	0	9.09090909090909	24.2424242424242	0	0	2-hydroxypent-2,4-dienoate hydratase	0.217402103602016	1
2-iminobutanoate/2-iminopropanoate deaminase	1	8	1	2	33	10	100	100	90.9090909090909	100	100	100	2-iminobutanoate/2-iminopropanoate deaminase	0.509823321959338	1
2-isopropylmalate synthase	1	8	1	2	33	11	100	100	100	100	100	100	2-isopropylmalate synthase	1	1
2-keto-3-deoxy-L-fuconate dehydrogenase	0	0	0	0	9	3	0	0	27.2727272727273	27.2727272727273	0	0	2-keto-3-deoxy-L-fuconate dehydrogenase	0.188802300514215	1
2-methylcitrate dehydratase	1	8	1	2	32	11	100	100	100	96.969696969697	100	100	2-methylcitrate dehydratase	0.904601710178056	1
2-methylcitrate synthase	1	8	1	2	33	11	100	100	100	100	100	100	2-methylcitrate synthase	1	1
2-methylisocitrate lyase	1	8	1	2	32	11	100	100	100	96.969696969697	100	100	2-methylisocitrate lyase	0.904601710178056	1
2-octaprenylphenol hydroxylase	0	0	0	0	0	1	0	0	9.09090909090909	0	0	0	2-octaprenylphenol hydroxylase	0.509823321959338	1
2-oxoglutaramate amidase	1	8	1	2	33	11	100	100	100	100	100	100	2-oxoglutaramate amidase	1	1
2-oxoglutarate carboxylase small subunit	1	8	1	2	33	11	100	100	100	100	100	100	2-oxoglutarate carboxylase small subunit	1	1
2-oxoglutarate dehydrogenase E1 component	1	8	1	2	33	11	100	100	100	100	100	100	2-oxoglutarate dehydrogenase E1 component	1	1
2-oxoglutarate oxidoreductase subunit KorA	1	8	1	2	33	11	100	100	100	100	100	100	2-oxoglutarate oxidoreductase subunit KorA	1	1
2-oxoglutarate oxidoreductase subunit KorB	1	8	1	2	33	11	100	100	100	100	100	100	2-oxoglutarate oxidoreductase subunit KorB	1	1
2-oxoisovalerate dehydrogenase subunit alpha	1	8	1	2	33	11	100	100	100	100	100	100	2-oxoisovalerate dehydrogenase subunit alpha	1	1
2-oxoisovalerate dehydrogenase subunit beta	1	8	1	2	33	11	100	100	100	100	100	100	2-oxoisovalerate dehydrogenase subunit beta	1	1
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	1	8	1	2	33	11	100	100	100	100	100	100	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	1	1
2-succinylbenzoate--CoA ligase	1	8	1	2	33	11	100	100	100	100	100	100	2-succinylbenzoate--CoA ligase	1	1
2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1	8	1	2	33	11	100	100	100	100	100	100	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1	1
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1	8	1	2	33	11	100	100	100	100	100	100	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1	1
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1	8	1	2	33	11	100	100	100	100	100	100	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1	1
2,3-dihydroxybenzoate-AMP ligase	1	8	1	2	33	11	100	100	100	100	100	100	2,3-dihydroxybenzoate-AMP ligase	1	1
2,3-diketo-5-methylthiopentyl-1-phosphate enolase	1	8	1	2	32	11	100	100	100	96.969696969697	100	100	2,3-diketo-5-methylthiopentyl-1-phosphate enolase	0.904601710178056	1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	1	8	1	2	33	11	100	100	100	100	100	100	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	1	1
2,6-dihydropseudooxynicotine hydrolase	0	0	0	0	1	1	0	0	9.09090909090909	3.03030303030303	0	0	2,6-dihydropseudooxynicotine hydrolase	0.823319770247701	1
23S rRNA (uracil-C(5))-methyltransferase RlmCD	1	8	1	2	33	11	100	100	100	100	100	100	23S rRNA (uracil-C(5))-methyltransferase RlmCD	1	1
23S rRNA pseudouridine(2604) synthase	1	8	1	2	33	11	100	100	100	100	100	100	23S rRNA pseudouridine(2604) synthase	1	1
26 kDa periplasmic immunogenic protein	1	8	1	2	33	11	100	100	100	100	100	100	26 kDa periplasmic immunogenic protein	1	1
27-O-demethylrifamycin SV methyltransferase	1	8	1	2	33	11	100	100	100	100	100	100	27-O-demethylrifamycin SV methyltransferase	1	1
2Fe-2S ferredoxin-5	1	8	1	2	33	11	100	100	100	100	100	100	2Fe-2S ferredoxin-5	1	1
3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	0	0	0	0	3	1	0	0	9.09090909090909	9.09090909090909	0	0	3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase	0.761102572998738	1
3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	0	0	0	0	0	1	0	0	9.09090909090909	0	0	0	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	0.509823321959338	1
3-amino-4-hydroxybenzoic acid synthase	0	0	0	0	0	1	0	0	9.09090909090909	0	0	0	3-amino-4-hydroxybenzoic acid synthase	0.509823321959338	1
3-dehydroquinate dehydratase	1	8	1	2	33	10	100	100	90.9090909090909	100	100	100	3-dehydroquinate dehydratase	0.509823321959338	1
3-dehydroquinate synthase	1	8	1	2	33	11	100	100	100	100	100	100	3-dehydroquinate synthase	1	1
